Here	are	the	results:	time	-	pitch(Hz)	-	Amplitude(dB)	-	RMSqIntensity(Pa)
1.44	202.839	39.095	0.001802137							
1.45	199.771	39.333	0.001852219							
1.46	197.798	39.185	0.001820952							
1.47	198.778	38.586	0.001699616							
1.48	206.028	37.751	0.001543729							
1.49	211.838	36.548	0.001344079							
1.5	217.13	34.559	0.001068959							
1.51	223.873	31.868	0.000784215							
1.52	221.564	28.741	0.00054712							
1.53	--undefined--	28.167	0.000512158							
1.54	--undefined--	29.544	0.000600117							
1.55	--undefined--	28.85	0.000554027							
1.56	--undefined--	25.769	0.000388574							
1.57	--undefined--	22.318	0.000261169							
1.58	--undefined--	22.577	0.000269064							
1.59	--undefined--	24.255	0.000326422							
1.6	--undefined--	25.363	0.000370844							
1.61	--undefined--	26.791	0.000437104							
1.62	--undefined--	30.822	0.000695227							
1.63	--undefined--	34.87	0.001107968							
1.64	228.482	36.637	0.001357964							
1.65	226.281	36.283	0.001303703							
1.66	225.346	35.02	0.001127277							
1.67	229.159	34.286	0.001035909							
1.68	231.33	34.426	0.001052728							
1.69	231.849	34.983	0.001122464							
1.7	230.438	35.55	0.001198202							
1.71	231.274	35.527	0.001194997							
1.72	234.262	34.44	0.001054457							
1.73	240.435	32.292	0.000823439							
1.74	235.029	29.548	0.000600356							
1.75	227.093	28.554	0.000535487							
1.76	--undefined--	30.968	0.000707031							
1.77	--undefined--	33.899	0.000990814							
1.78	--undefined--	35.965	0.001256812							
1.79	--undefined--	36.756	0.001376685							
1.8	--undefined--	36.236	0.00129666							
1.81	--undefined--	35.292	0.001163197							
1.82	--undefined--	34.246	0.001031161							
1.83	--undefined--	32.108	0.000806195							
1.84	--undefined--	27.996	0.000502124							
1.85	--undefined--	23.914	0.000313859							
1.86	--undefined--	28.618	0.000539397							
1.87	--undefined--	33.939	0.000995313							
1.88	232.006	36.597	0.001351774							
1.89	221.674	37.486	0.00149736							
1.9	207.958	37.59	0.001515456							
1.91	199.591	37.316	0.001468367							
1.92	196.901	37.219	0.001451974							
1.93	191.342	37.622	0.001520954							
1.94	178.722	37.913	0.001572857							
1.95	176.024	37.52	0.001503302							
1.96	--undefined--	36.191	0.001289977							
1.97	--undefined--	35.063	0.001132885							
1.98	--undefined--	34.996	0.001124213							
1.99	--undefined--	33.409	0.000936438							
2	--undefined--	30.322	0.000656378							
2.01	--undefined--	29.152	0.000573609							
2.02	--undefined--	27.077	0.000451732							
2.03	--undefined--	21.229	0.000230394							
2.04	--undefined--	12.845	8.78E-05							
2.05	--undefined--	11.881	7.85E-05							
2.06	--undefined--	12.634	8.57E-05							
2.07	--undefined--	11.803	7.78E-05							
2.08	--undefined--	9.957	6.29E-05							
2.09	--undefined--	9.28	5.82E-05							
2.1	--undefined--	9.659	6.08E-05							
2.11	--undefined--	9.988	6.32E-05							
2.12	--undefined--	10.173	6.45E-05							
2.13	--undefined--	10.014	6.33E-05							
2.14	--undefined--	9.458	5.94E-05							
2.15	--undefined--	9.033	5.66E-05							
2.16	--undefined--	9.435	5.93E-05							
2.17	--undefined--	10.243	6.50E-05							
2.18	--undefined--	10.858	6.98E-05							
2.19	--undefined--	11.915	7.88E-05							
2.2	--undefined--	14.511	0.000106313							
2.21	--undefined--	22.954	0.000281028							
2.22	201.269	30.637	0.00068056							
2.23	206.277	35.077	0.001134647							
2.24	208.359	37.205	0.001449671							
2.25	213.185	38.507	0.001684058							
2.26	216.482	39.747	0.00194263							
2.27	217.151	40.809	0.002195173							
2.28	218.029	41.474	0.002369928							
2.29	219.247	41.47	0.002368786							
2.3	220.993	40.741	0.00217816							
2.31	224.81	39.541	0.001896962							
2.32	228.609	38.23	0.001631322							
2.33	230.794	36.775	0.00137973							
2.34	230.477	34.543	0.001067072							
2.35	232.441	31.133	0.000720542							
2.36	231.669	27.941	0.000498958							
2.37	--undefined--	28.007	0.000502782							
2.38	--undefined--	30.076	0.000637983							
2.39	--undefined--	31.266	0.000731703							
2.4	--undefined--	30.758	0.000690146							
2.41	--undefined--	29.086	0.000569302							
2.42	--undefined--	27.59	0.000479227							
2.43	--undefined--	27.482	0.000473277							
2.44	--undefined--	28.204	0.000514301							
2.45	--undefined--	28.39	0.00052546							
2.46	--undefined--	28.313	0.000520836							
2.47	--undefined--	31.855	0.000783045							
2.48	241.989	36.625	0.001356002							
2.49	229.499	38.744	0.001730829							
2.5	219.498	38.943	0.001770873							
2.51	214.478	38.768	0.001735534							
2.52	212.667	38.747	0.001731283							
2.53	210.794	38.672	0.001716399							
2.54	210.532	38.508	0.001684342							
2.55	211.975	38.397	0.001662924							
2.56	210.129	38.356	0.001655063							
2.57	208.874	38.256	0.001636135							
2.58	207.126	37.958	0.001580982							
2.59	205.048	37.052	0.00142441							
2.6	204.623	34.891	0.001110604							
2.61	202.882	31.385	0.000741772							
2.62	--undefined--	28.172	0.00051242							
2.63	--undefined--	25.762	0.000388271							
2.64	--undefined--	22.47	0.000265784							
2.65	--undefined--	18.78	0.0001738							
2.66	--undefined--	14.757	0.000109364							
2.67	--undefined--	12.053	8.01E-05							
2.68	--undefined--	10.866	6.99E-05							
2.69	--undefined--	10.067	6.37E-05							
2.7	--undefined--	9.707	6.11E-05							
2.71	--undefined--	9.726	6.13E-05							
2.72	--undefined--	13.358	9.31E-05							
2.73	--undefined--	19.513	0.000189099							
2.74	--undefined--	28.008	0.000502849							
2.75	--undefined--	34.813	0.001100746							
2.76	229.798	38.122	0.00161115							
2.77	225.633	38.87	0.001756069							
2.78	224.211	38.35	0.001653993							
2.79	220.064	36.684	0.001365324							
2.8	212.648	33.336	0.000928563							
2.81	--undefined--	29.62	0.000605391							
2.82	--undefined--	26.4	0.00041784							
2.83	--undefined--	21.104	0.000227105							
2.84	--undefined--	13.454	9.41E-05							
2.85	--undefined--	8.831	5.53E-05							
2.86	--undefined--	9.191	5.76E-05							
2.87	--undefined--	11.817	7.80E-05							
2.88	--undefined--	16.992	0.000141458							
2.89	--undefined--	26.557	0.000425496							
2.9	--undefined--	33.774	0.00097666							
2.91	--undefined--	37.268	0.001460257							
2.92	--undefined--	38.247	0.00163447							
2.93	--undefined--	38.221	0.001629543							
2.94	94.033	38.027	0.001593592							
2.95	90.132	37.795	0.001551551							
2.96	92.207	37.414	0.001485081							
2.97	94.937	37.023	0.001419569							
2.98	99.008	36.576	0.001348396							
2.99	105.44	35.902	0.001247761							
3	110.404	35.03	0.001128625							
3.01	226.978	33.788	0.000978189							
3.02	228.839	31.99	0.000795302							
3.03	221.23	29.822	0.000619633							
3.04	206.654	26.924	0.00044385							
3.05	--undefined--	23.462	0.000297942							
3.06	--undefined--	22.511	0.000267053							
3.07	--undefined--	24.759	0.000345907							
3.08	--undefined--	27.822	0.000492174							
3.09	--undefined--	31.107	0.000718455							
3.1	--undefined--	33.292	0.000923959							
3.11	--undefined--	33.973	0.000999243							
3.12	--undefined--	33.313	0.000926193							
3.13	--undefined--	31.428	0.0007455							
3.14	--undefined--	29.043	0.000566483							
3.15	--undefined--	27.107	0.000453315							
3.16	--undefined--	25.069	0.000358493							
3.17	--undefined--	21.629	0.000241252							
3.18	--undefined--	16.001	0.000126208							
3.19	--undefined--	10.569	6.75E-05							
3.2	--undefined--	9.562	6.01E-05							
3.21	--undefined--	13.941	9.96E-05							
3.22	--undefined--	24.155	0.000322675							
3.23	--undefined--	30.62	0.000679263							
3.24	--undefined--	34.002	0.00100255							
3.25	--undefined--	36.62	0.001355251							
3.26	--undefined--	38.521	0.001686865							
3.27	106.175	39.271	0.001839027							
3.28	105.077	39.159	0.001815419							
3.29	103.218	38.292	0.00164298							
3.3	99.808	37.206	0.001449849							
3.31	100.874	36.525	0.001340519							
3.32	99.772	36.262	0.001300575							
3.33	99.485	35.984	0.001259547							
3.34	202.709	35.539	0.001196627							
3.35	206.825	35.043	0.001130247							
3.36	207.501	34.509	0.001062836							
3.37	206.402	34.629	0.001077616							
3.38	204.647	35.688	0.001217333							
3.39	--undefined--	36.06	0.001270638							
3.4	--undefined--	35.539	0.001196719							
3.41	--undefined--	34.711	0.001087852							
3.42	--undefined--	33.483	0.000944466							
3.43	--undefined--	32.551	0.000848334							
3.44	--undefined--	32.988	0.000892106							
3.45	88.2	33.136	0.000907463							
3.46	85.67	32.597	0.000852893							
3.47	--undefined--	32.896	0.000882719							
3.48	--undefined--	32.928	0.000885992							
3.49	--undefined--	32.133	0.000808456							
3.5	--undefined--	31.965	0.000793054							
3.51	--undefined--	31.523	0.000753655							
3.52	--undefined--	30.573	0.000675579							
3.53	--undefined--	27.79	0.00049037							
3.54	--undefined--	21.396	0.000234883							
3.55	--undefined--	12.631	8.56E-05							
3.56	--undefined--	16.87	0.000139483							
3.57	--undefined--	24.054	0.000318959							
3.58	--undefined--	26.808	0.000437957							
3.59	--undefined--	25.271	0.000366928							
3.6	--undefined--	21.122	0.000227583							
3.61	--undefined--	19.466	0.000188067							
3.62	--undefined--	18.117	0.000161017							
3.63	--undefined--	15.184	0.000114882							
3.64	--undefined--	17.118	0.00014353							
3.65	--undefined--	22.881	0.000278656							
3.66	--undefined--	27.497	0.000474093							
3.67	--undefined--	30.954	0.000705899							
3.68	--undefined--	32.551	0.000848312							
3.69	--undefined--	31.707	0.000769802							
3.7	--undefined--	29.036	0.000565988							
3.71	--undefined--	25.908	0.000394835							
3.72	--undefined--	22.386	0.000263219							
3.73	--undefined--	18.974	0.000177725							
3.74	--undefined--	17.527	0.000150442							
3.75	--undefined--	15.277	0.000116119							
3.76	--undefined--	11.819	7.80E-05							
3.77	--undefined--	10.742	6.89E-05							
3.78	--undefined--	10.385	6.61E-05							
3.79	--undefined--	10.796	6.93E-05							
3.8	--undefined--	18.28	0.000164066							
3.81	--undefined--	26.212	0.000408921							
3.82	--undefined--	32.105	0.000805868							
3.83	--undefined--	36.312	0.001308141							
3.84	230.636	38.67	0.001716116							
3.85	227.654	39.732	0.001939268							
3.86	224.832	40.089	0.002020692							
3.87	222.437	40.14	0.002032439							
3.88	220.609	40.244	0.002057083							
3.89	218.988	40.775	0.002186559							
3.9	218.283	42.054	0.002533641							
3.91	--undefined--	43.339	0.002937364							
3.92	--undefined--	43.737	0.003075191							
3.93	--undefined--	43.459	0.002978403							
3.94	--undefined--	43.143	0.002871881							
3.95	--undefined--	43.296	0.002923047							
3.96	--undefined--	43.939	0.003147618							
3.97	--undefined--	44.116	0.003212496							
3.98	--undefined--	42.707	0.002731397							
3.99	--undefined--	38.892	0.001760549							
4	--undefined--	33.066	0.000900194							
4.01	--undefined--	31.063	0.000714769							
4.02	--undefined--	32.581	0.000851328							
4.03	--undefined--	33.809	0.000980595							
4.04	--undefined--	32.767	0.000869688							
4.05	--undefined--	28.263	0.000517802							
4.06	--undefined--	21.771	0.000245225							
4.07	--undefined--	20.291	0.000206803							
4.08	--undefined--	21.156	0.000228466							
4.09	--undefined--	22.289	0.000260315							
4.1	--undefined--	27.258	0.000461265							
4.11	--undefined--	33.809	0.000980598							
4.12	--undefined--	37.125	0.001436409							
4.13	116.955	37.278	0.001461945							
4.14	115.922	35.98	0.00125899							
4.15	121.457	35.174	0.001147504							
4.16	97.824	34.672	0.001083027							
4.17	96.693	33.888	0.000989541							
4.18	79.7	32.854	0.000878493							
4.19	--undefined--	31.6	0.000760378							
4.2	--undefined--	31.243	0.000729782							
4.21	--undefined--	33.604	0.000957702							
4.22	--undefined--	34.673	0.001083137							
4.23	--undefined--	33.297	0.000924405							
4.24	--undefined--	33.827	0.000982646							
4.25	--undefined--	34.982	0.001122383							
4.26	--undefined--	34.679	0.001083825							
4.27	--undefined--	33.712	0.000969659							
4.28	--undefined--	32.622	0.000855334							
4.29	--undefined--	32.805	0.000873517							
4.3	--undefined--	34.136	0.001018201							
4.31	--undefined--	34.41	0.001050769							
4.32	--undefined--	34.347	0.001043233							
4.33	--undefined--	34.45	0.001055708							
4.34	--undefined--	37.292	0.001464382							
4.35	--undefined--	41.34	0.002333549							
4.36	--undefined--	42.725	0.002737107							
4.37	--undefined--	41.291	0.002320417							
4.38	--undefined--	37.231	0.001453985							
4.39	--undefined--	30.607	0.000678223							
4.4	--undefined--	21.582	0.000239952							
4.41	--undefined--	14.199	0.000102563							
4.42	--undefined--	13.745	9.73E-05							
4.43	--undefined--	13.593	9.57E-05							
4.44	--undefined--	13.07	9.01E-05							
4.45	--undefined--	12.831	8.76E-05							
4.46	--undefined--	12.701	8.63E-05							
4.47	--undefined--	14.241	0.000103056							
4.48	--undefined--	16.945	0.000140696							
4.49	--undefined--	17.471	0.000149478							
4.5	--undefined--	15.527	0.000119505							
4.51	--undefined--	13.273	9.22E-05							
4.52	--undefined--	12.272	8.22E-05							
4.53	--undefined--	12.262	8.21E-05							
4.54	--undefined--	11.391	7.42E-05							
4.55	--undefined--	10.988	7.09E-05							
4.56	--undefined--	14.952	0.000111846							
4.57	--undefined--	18.919	0.000176588							
4.58	--undefined--	20.506	0.000212008							
4.59	--undefined--	20.61	0.000214559							
4.6	--undefined--	--undefined--	--undefined--							
4.61	--undefined--	--undefined--	--undefined--							
4.62	--undefined--	--undefined--	--undefined--							
4.63	--undefined--	--undefined--	--undefined--							
