Here	are	the	results:	time	-	pitch(Hz)	-	Amplitude(dB)	-	RMSqIntensity(Pa)
2.37	--undefined--	37.019	0.001419054							
2.38	--undefined--	34.939	0.001116864							
2.39	--undefined--	34.981	0.001122233							
2.4	--undefined--	35.666	0.001214344							
2.41	--undefined--	35.272	0.001160413							
2.42	--undefined--	33.738	0.000972609							
2.43	--undefined--	31.778	0.000776142							
2.44	--undefined--	29.602	0.000604128							
2.45	--undefined--	--undefined--	--undefined--							
2.46	--undefined--	--undefined--	--undefined--							
2.47	--undefined--	--undefined--	--undefined--							
2.48	--undefined--	--undefined--	--undefined--							
